quality model: google/gemini-3.7-flash
2400 to score

[100/2400] ok=100 $0.1256
[200/2400] ok=200 $0.2486
[300/2400] ok=300 $0.3551
[400/2400] ok=400 $0.4650
[500/2400] ok=500 $0.5834
[600/2400] ok=600 $0.7051
[700/2400] ok=700 $0.8293
[800/2400] ok=800 $0.9540
[900/2400] ok=900 $1.0633
[1000/2400] ok=1000 $1.1686
[1100/2400] ok=1100 $1.2781
[1200/2400] ok=1200 $1.3851
[1300/2400] ok=1300 $1.5051
[1400/2400] ok=1400 $1.6237
[1500/2400] ok=1500 $1.7269
[1600/2400] ok=1600 $1.8307
[1700/2400] ok=1700 $1.9497
[1800/2400] ok=1800 $2.0706
[1900/2400] ok=1900 $2.1942
[2000/2400] ok=2000 $2.3148
[2100/2400] ok=2100 $2.4168
[2200/2400] ok=2200 $2.5174
[2300/2400] ok=2300 $2.6221
[2400/2400] ok=2400 $2.7269

done: 2400/2400 | quality re-score cost $2.7269
